employer,submit date,start date,case status,job title,base salary,salary to,city,state
supreme tech solutions llc,8/16/2013,10/1/2013,certified,software analyst,65000,,portland,or
supreme tech solutions llc,8/22/2013,8/22/2013,certified,software analyst,65000,,dallas,tx
trellis technology solutions llc,8/25/2014,8/25/2014,certified,software analyst,65100,,southlake,tx
supreme tech solutions llc,2/11/2013,4/1/2013,certified,software analyst,65104,,urbandale,ia
citadel information services inc,7/22/2014,7/22/2014,certified,software analyst,65200,,ewing,nj
west corporation,5/19/2014,10/1/2014,certified,software analyst,65775.8,,mobile,ne
west corporation,5/30/2014,11/1/2014,withdrawn,software analyst,65775.8,,mobile,al
west corporation,6/2/2014,11/1/2014,certified,software analyst,65775.8,,mobile,ne
west corporation,6/30/2014,11/1/2014,certified,software analyst,65775.8,,mobile,al
data systems integration group inc,1/31/2013,2/7/2013,certified,software analyst,66000,,dublin,oh
supreme tech solutions llc,10/25/2012,10/25/2012,certified,software analyst,66414,,richfield,mn
rs software (india) ltd,3/14/2013,9/10/2013,certified,software analyst,66685,,foster city,ca
rs software (india) ltd,3/14/2013,9/10/2013,certified,software analyst,66685,,foster city,ca
rs software (india) ltd,3/15/2013,9/13/2013,certified,software analyst,66685,,foster city,ca
sriven systems inc,10/30/2013,10/30/2013,certified,software analyst,67000,,jacksonville,fl
supreme tech solutions llc,8/7/2013,8/16/2013,withdrawn,software analyst,67038,,columbus,oh
supreme tech solutions llc,8/7/2013,8/16/2013,certified,software analyst,67038,,columbus,oh
supreme tech solutions llc,8/7/2013,8/16/2013,certified,software analyst,67038,,columbus,oh
supreme tech solutions llc,2/25/2013,4/18/2013,certified,software analyst,67371,,bothell,wa
trium corporation,7/11/2013,10/1/2013,certified,software analyst,67392,,morrisville,nc
supreme tech solutions llc,7/3/2013,7/31/2013,certified,software analyst,67434,,des moines,ia
supreme tech solutions llc,8/7/2013,9/23/2013,certified,software analyst,67434,,des moines,ia
supreme tech solutions llc,7/5/2013,9/23/2013,certified,software analyst,67558,,urbandale,ia
supreme tech solutions llc,4/10/2013,4/20/2013,certified,software analyst,68162,,dallas,tx
quantum vision llc,3/12/2014,9/6/2014,certified,software analyst,69000,,foster city,ca
target labs incorporated,6/21/2014,7/1/2014,certified,software analyst,69098,,bothell,wa
supreme tech solutions llc,7/21/2013,12/1/2013,certified,software analyst,69493,,fort washington,pa
thermo fisher scientific inc,10/6/2014,1/18/2015,certified,software analyst,69846,84480.48,pittsburgh,pa
supreme tech solutions llc,9/27/2012,10/8/2012,certified,software analyst,69930,,rockville,md
supreme tech solutions llc,2/5/2013,2/15/2013,certified,software analyst,69930,,urbandale,ia
supreme tech solutions llc,3/13/2013,9/10/2013,certified,software analyst,69930,,rockville,md
supreme tech solutions llc,4/11/2013,4/21/2013,certified,software analyst,69930,,dallas,tx
supreme tech solutions llc,4/19/2013,5/1/2013,certified,software analyst,69930,,rockville,md
supreme tech solutions llc,4/23/2013,7/8/2013,certified,software analyst,69930,,rockville,md
supreme tech solutions llc,5/10/2013,5/20/2013,certified,software analyst,69930,,rockville,md
target labs incorporated,11/26/2014,11/26/2014,certified,software analyst,70000,,warren,nj
target labs incorporated,11/26/2014,11/26/2014,certified,software analyst,70000,,baltimore,md
target labs incorporated,12/8/2014,12/8/2014,certified,software analyst,70000,,warren,nj
target labs incorporated,12/8/2014,12/8/2014,certified,software analyst,70000,,baltimore,md
target labs incorporated,12/9/2014,12/20/2014,certified,software analyst,70000,,chantilly,va
target labs incorporated,12/15/2014,12/30/2014,certified,software analyst,70000,,vienna,va
target labs incorporated,12/19/2014,12/19/2014,certified,software analyst,70000,,washington,dc
cynosure technologies llc,10/21/2013,10/22/2013,certified,software analyst,70000,,houston,tx
citadel information services inc,1/22/2014,1/28/2014,certified,software analyst,70000,,jersey city,nj
target labs incorporated,2/19/2014,2/28/2014,certified,software analyst,70000,,gaithersburg,md
target labs incorporated,2/24/2014,3/3/2014,certified,software analyst,70000,,warren,nj
target labs incorporated,2/27/2014,8/25/2014,certified,software analyst,70000,,vienna,va
target labs incorporated,7/24/2014,8/1/2014,certified,software analyst,70000,,woonsocket,ri
gcom software inc,8/13/2014,8/22/2014,certified,software analyst,70000,,madison,nj
supreme tech solutions llc,10/9/2012,10/9/2012,certified,software analyst,70000,,rockville,md
supreme tech solutions llc,10/10/2012,10/10/2012,certified,software analyst,70000,,rockville,md
supreme tech solutions llc,10/12/2012,10/12/2012,certified,software analyst,70000,,rockville,md
supreme tech solutions llc,10/25/2012,10/25/2012,certified,software analyst,70000,,richardson,tx
supreme tech solutions llc,10/25/2012,10/25/2012,certified,software analyst,70000,,dallas,tx
supreme tech solutions llc,12/6/2012,12/6/2012,certified,software analyst,70000,,deerfield,il
supreme tech solutions llc,12/6/2012,12/6/2012,certified,software analyst,70000,,deerfield,il
larsen & toubro infotech limited,1/24/2013,1/31/2013,withdrawn,software analyst,70000,,jersey city,nj
supreme tech solutions llc,1/31/2013,1/31/2013,certified,software analyst,70000,,dallas,tx
supreme tech solutions llc,2/15/2013,2/15/2013,denied,software analyst,70000,,des moines,ia
supreme tech solutions llc,2/19/2013,2/19/2013,denied,software analyst,70000,,gaithersburg,md
supreme tech solutions llc,2/14/2013,2/14/2013,certified,software analyst,70000,,bothell,wa
supreme tech solutions llc,2/15/2013,2/15/2013,certified,software analyst,70000,,bothell,wa
supreme tech solutions llc,2/15/2013,2/15/2013,certified,software analyst,70000,,woonsocket,ri
supreme tech solutions llc,2/26/2013,2/26/2013,certified,software analyst,70000,,des moines,ia
supreme tech solutions llc,2/26/2013,2/26/2013,certified,software analyst,70000,,des moines,ia
supreme tech solutions llc,2/26/2013,2/26/2013,certified,software analyst,70000,,gaithersburg,md
supreme tech solutions llc,2/26/2013,2/26/2013,certified,software analyst,70000,,gaithersburg,md
supreme tech solutions llc,3/1/2013,3/1/2013,certified,software analyst,70000,,gaithersburg,md
supreme tech solutions llc,4/17/2013,4/17/2013,certified,software analyst,70000,,dallas,tx
supreme tech solutions llc,6/11/2013,6/12/2013,certified,software analyst,70000,,dallas,tx
west corporation,5/7/2014,9/18/2014,certified,software analyst,70035.93,,omaha,ne
west corporation,5/14/2014,9/18/2014,certified,software analyst,70035.93,,omaha,ne
supreme tech solutions llc,12/6/2012,12/6/2012,certified,software analyst,70491,,alexandria,va
supreme tech solutions llc,12/11/2012,12/11/2012,certified,software analyst,70491,,mclean,va
supreme tech solutions llc,3/13/2013,9/10/2013,certified,software analyst,70491,,vienna,va
target labs incorporated,6/25/2014,7/1/2014,certified,software analyst,70845,,dallas,tx
supreme tech solutions llc,7/22/2013,12/15/2013,certified,software analyst,70928,,rockville,md
supreme tech solutions llc,9/13/2013,10/1/2013,certified,software analyst,70928,,rockville,md
supreme tech solutions llc,4/18/2013,10/1/2013,certified,software analyst,70949,,columbus,oh
target labs incorporated,4/3/2014,4/13/2014,certified,software analyst,71718,,new braunfels,tx
target labs incorporated,4/10/2014,4/17/2014,certified,software analyst,71718,,gaithersburg,md
target labs incorporated,4/11/2014,4/17/2014,certified,software analyst,71718,,gaithersburg,md
target labs incorporated,4/24/2014,5/2/2014,certified,software analyst,71718,,san antonio,tx
target labs incorporated,9/5/2014,9/5/2014,certified,software analyst,71718,,ft. collins,co
target labs incorporated,10/17/2014,10/27/2014,certified,software analyst,72000,,vienna,va
supreme tech solutions llc,3/26/2014,3/26/2014,certified,software analyst,72000,,union,nj
sv it inc,5/27/2014,5/27/2014,certified,software analyst,72000,72000,cambridge,ma
west corporation,8/5/2014,10/1/2014,certified,software analyst,72000,,omaha,ne
target labs incorporated,9/2/2014,9/4/2014,certified,software analyst,72000,,vienna,va
target labs incorporated,9/17/2014,9/28/2014,certified,software analyst,72000,,vienna,va
supreme tech solutions llc,4/3/2013,4/3/2013,certified,software analyst,72000,,jersey city,nj
supreme tech solutions llc,8/15/2013,10/1/2013,certified,software analyst,72000,,mclean,va
supreme tech solutions llc,9/6/2013,9/6/2013,certified,software analyst,72000,,vienna,va
supreme tech solutions llc,9/6/2013,9/6/2013,certified,software analyst,72000,,vienna,va
majescomastek,3/11/2014,9/6/2014,certified,software analyst,72624,,maple grove,mn
new england it associates inc,7/12/2013,8/20/2013,certified,software analyst,72779,,wellesley,ma
new england it associates inc,8/22/2013,9/2/2013,certified,software analyst,72779,,jefferson city,mo
supreme tech solutions llc,10/23/2013,10/23/2013,certified,software analyst,73000,,rockville,md
supreme tech solutions llc,10/23/2013,10/23/2013,certified,software analyst,73000,,rockville,md
supreme tech solutions llc,10/23/2013,10/28/2013,certified,software analyst,73000,,walnut creek,ca
supreme tech solutions llc,10/23/2013,10/23/2013,certified,software analyst,73000,,rockville,md
supreme tech solutions llc,11/12/2013,11/12/2013,certified,software analyst,73000,,walnut creek,ca
supreme tech solutions llc,12/13/2013,12/13/2013,certified,software analyst,73000,,gaithersburg,md
scientia systems llc,3/10/2014,9/9/2014,certified,software analyst,73000,,burlington,ma
supreme tech solutions llc,8/15/2013,10/1/2013,certified,software analyst,73000,,bethesda,md
supreme tech solutions llc,8/15/2013,10/1/2013,certified,software analyst,73000,,washington,dc
supreme tech solutions llc,8/15/2013,10/1/2013,certified,software analyst,73000,,gaithersburg,md
supreme tech solutions llc,8/22/2013,8/22/2013,certified,software analyst,73000,,whippany,nh
enshire inc,3/12/2014,9/10/2014,certified,software analyst,73200,,bellevue,wa
enshire inc,3/12/2014,9/10/2014,certified,software analyst,73200,,bellevue,wa
enshire inc,3/19/2014,9/17/2014,certified,software analyst,73200,,seattle,wa
enshire inc,3/19/2014,9/10/2014,certified,software analyst,73200,,bellevue,wa
american unit inc,9/10/2013,9/29/2013,certified,software analyst,74475,,tempe,az
american unit inc,9/10/2013,9/19/2013,certified,software analyst,74475,,tempe,az
new england it associates inc,3/23/2013,9/22/2013,certified,software analyst,74651,,piscataway,nj
target labs incorporated,10/7/2014,10/10/2014,certified,software analyst,75000,,urbandale,ia
e-ring inc,10/24/2014,11/3/2014,certified,software analyst,75000,,alpharetta,ga
target labs incorporated,12/10/2014,12/20/2014,certified,software analyst,75000,,houston,tx
target labs incorporated,12/10/2014,12/20/2014,certified,software analyst,75000,,dallas,tx
target labs incorporated,5/16/2014,5/21/2014,certified,software analyst,75000,,gaithersburg,md
supreme tech solutions llc,10/23/2013,10/28/2013,certified,software analyst,75000,,bellevue,wa
supreme tech solutions llc,10/24/2013,10/24/2013,certified,software analyst,75000,,san bruno,ca
supreme tech solutions llc,11/13/2013,11/13/2013,certified,software analyst,75000,,brisbane,ca
supreme tech solutions llc,11/27/2013,11/27/2013,certified,software analyst,75000,,new york,ny
target labs inc,12/27/2013,1/7/2014,certified,software analyst,75000,,vienna,va
american unit inc,1/22/2014,1/22/2014,certified,software analyst,75000,,phoenix,az
it central inc,2/7/2014,3/1/2014,certified,software analyst,75000,,reston,va
target labs incorporated,2/19/2014,8/16/2014,certified,software analyst,75000,,houston,tx
img systems in c,3/22/2014,9/21/2014,certified,software analyst,75000,,plano,tx
west corporation,9/23/2014,9/29/2014,certified,software analyst,75000,,omaha,ne
target labs incorporated,5/16/2014,5/21/2014,certified,software analyst,75000,,irving,tx
target labs incorporated,5/21/2014,5/21/2014,certified,software analyst,75000,,gaithersburg,md
target labs incorporated,5/23/2014,6/2/2014,certified,software analyst,75000,,urbandale,ia
target labs incorporated,7/22/2014,8/4/2014,certified,software analyst,75000,,gaithersburg,md
target labs incorporated,9/18/2014,10/1/2014,certified,software analyst,75000,,charlotte,nc
supreme tech solutions llc,10/25/2012,10/25/2012,certified,software analyst,75000,,walnut creek,ca
supreme tech solutions llc,1/3/2013,1/3/2013,certified,software analyst,75000,,bothell,wa
supreme tech solutions llc,1/3/2013,1/3/2013,certified,software analyst,75000,,bothell,wa
supreme tech solutions llc,2/19/2013,2/19/2013,certified,software analyst,75000,,fort washington,pa
supreme tech solutions llc,2/19/2013,2/19/2013,certified,software analyst,75000,,bothell,wa
supreme tech solutions llc,2/19/2013,2/19/2013,certified,software analyst,75000,,bothell,wa
supreme tech solutions llc,4/3/2013,4/3/2013,certified,software analyst,75000,,bothell,wa
supreme tech solutions llc,8/15/2013,10/1/2013,certified,software analyst,75000,,bothell,wa
supreme tech solutions llc,10/16/2012,10/16/2012,certified,software analyst,76690,,brisbane,ca
relevance lab inc,4/1/2014,8/16/2014,certified,software analyst,77000,,bridgewater,nj
west corporation,4/15/2014,9/15/2014,certified,software analyst,77200.94,,omaha,ne
west corporation,4/30/2014,9/15/2014,certified,software analyst,77200.94,,omaha,ne
west corporation,6/19/2014,9/15/2014,certified,software analyst,77200.94,,omaha,ne
new england it associates inc,4/24/2013,5/7/2013,certified,software analyst,77480,,andover,ma
krypton consulting inc,3/23/2014,9/22/2014,certified,software analyst,79643,,newark,ca
ez2 technologies inc,11/7/2013,11/11/2013,certified,software analyst,80000,,costa mesa,ca
vsys inc,2/12/2014,6/14/2014,certified,software analyst,80000,,johns creek,ga
thermo fisher scientific inc,1/9/2013,1/17/2013,certified,software analyst,81200,,pittsburgh,pa
west corporation,4/1/2014,4/10/2014,certified,software analyst,82000,,omaha,ne
ntt data inc,11/15/2013,11/25/2013,certified,software analyst,84100,120000,bellevue,wa
thermo fisher scientific inc,3/21/2014,9/19/2014,certified,software analyst,84480,,pittsburgh,pa
target labs incorporated,9/24/2014,10/1/2014,certified,software analyst,85000,,bothell,wa
west corporation,10/12/2012,10/24/2012,certified,software analyst,85000,,omaha,ne
idc technologies inc,3/22/2013,3/22/2013,certified,software analyst,85000,,richardson,tx
proficient business systems inc,9/9/2014,9/9/2014,certified,software analyst,85321.6,,santa clara,ca
bioreliance corporation,7/16/2013,7/22/2013,certified,software analyst,85509,118320,rockville,md
wincere inc,3/5/2014,6/30/2014,certified,software analyst,86133,,anaheim,ca
wincere inc,11/1/2012,12/31/2012,certified,software analyst,86133,,anaheim,ca
ez2 technologies inc,11/25/2014,1/31/2015,certified,software analyst,88442,,houston,tx
ez2 technologies inc,12/1/2014,1/30/2015,certified,software analyst,88442,,houston,tx
medical science & computing llc,6/20/2014,7/16/2014,certified,software analyst,89256,,bethersda,md
bodhtree solutions inc,12/16/2014,5/10/2015,certified,software analyst,90000,,ewing,nj
paramount global solutions inc,10/17/2012,10/17/2012,certified,software analyst,90022,,lisle,il
glaxosmithkline llc,12/18/2014,5/22/2015,certified,software analyst,92498,148300,king of prussia,pa
gcom software inc,8/20/2014,2/18/2015,certified,software analyst,96000,,long island city,ny
ngusoft inc,3/25/2014,9/1/2014,withdrawn,software analyst,105000,,palo alto,ca
ngusoft inc,3/25/2014,3/25/2014,certified,software analyst,105000,,palo alto,ca
idc technologies inc,12/8/2014,12/8/2014,certified,software analyst,116480,,san ramon,ca
idc technologies inc,5/3/2013,5/3/2013,certified,software analyst,116480,,milpitas,ca
suhas ahuja computer consultants inc,10/10/2012,10/20/2012,certified,software analyst,156000,,san mateo,ca
suhas ahuja computer consultants inc,10/10/2012,10/20/2012,certified,software analyst,156000,,san francisco,ca
gcom software inc,8/20/2014,2/18/2015,withdrawn,software analyst,960000,,long island city,ny
intentional software corporation,12/22/2014,2/1/2015,certified,software analyst & developer,125000,,bellevue,wa
ordusion technologies inc,3/23/2013,4/13/2013,certified,software analyst (qa),60000,,duluth,ga
pioneer technologies inc,3/13/2014,9/12/2014,certified,software analyst - pharmaceutical,60000,,irving,tx
racar international d/e llc,5/22/2014,5/29/2014,certified,software analyst - testing,50000,,ann arbor,mi
jubilee reach,3/12/2014,9/11/2014,certified,software analyst and applications developer,35.18,,bellevue,wa
whamtech inc,9/28/2012,10/5/2012,certified,software analyst and developer,73000,,dallas,tx
technosoft corporation,2/14/2013,3/25/2013,certified,software analyst and tester,65000,70000,concord,nh
technosoft corporation,2/28/2014,4/10/2014,certified,software analyst and tester,66500,72000,concord,nh
teleflora llc,7/2/2014,10/7/2014,certified,software analyst developer,81874,,oklahoma city,ok
teleflora llc,3/18/2014,9/16/2014,certified,software analyst developer - atg,110000,,oklahoma city,ok
teleflora llc,1/15/2013,6/21/2013,certified,"software analyst developer, senior",94687.97,,oklahoma,ok
klaxontech technologies inc,3/11/2014,9/1/2014,certified,software analyst engineer,74000,,jersey city,nj
klaxontech technologies inc,3/21/2014,4/15/2014,certified,software analyst engineer,74000,,jersey city,nj
klaxontech technologies inc,3/21/2014,9/1/2014,certified,software analyst engineer,74000,,jersey city,nj
radiantsoft-usa llc,8/11/2014,9/30/2014,certified,software analyst etl-developer,72800,,buffalo,ny
raba kistner inc,9/23/2013,10/1/2013,certified,software analyst ii,65000,,austin,tx
opswat inc,9/12/2013,1/1/2014,withdrawn,software analyst lead,102000,,san francisco,ca
opswat inc,9/19/2013,1/1/2014,certified,software analyst lead,112000,,san francisco,ca
acusys inc,3/17/2014,9/16/2014,certified,software analyst \ web developer,60000,,alexandria,va
slv it solutions,2/18/2014,8/12/2014,certified,"software analyst, business systems",70000,,des plaines,il
innovate solutions inc,11/15/2012,11/15/2012,certified,software analyst/ web developer,62525,,san bruno,ca
pinnacle consulting llc,7/18/2014,9/30/2014,certified,software analyst/consultant,79822,,cayce,sc
etisbew technology group,3/28/2014,9/24/2014,certified,software analyst/developer,60403,,iselin,nj
whamtech inc,3/28/2014,9/27/2014,certified,software analyst/developer,62500,,dallas,tx
teleflora llc,8/6/2014,10/1/2014,certified,software analyst/developer - web,79563,,oklahoma city,ok
invexer technology incorporation,3/4/2014,9/1/2014,certified,"software analyst/developer, financial/business dat",61000,,manassas,va
octek consulting inc,6/18/2014,10/7/2014,certified,software analyst/engineer,70000,,fort washington,pa
octek consulting inc,8/21/2013,8/24/2013,certified,software analyst/engineer,70000,,fort washington,pa
dolphin solutions inc,4/25/2013,4/26/2013,certified,software analyst/programmer,68370,,irving,tx
aimic inc,3/13/2014,3/13/2014,certified,software analyst/system center configuration manag,60000,70000,menomonee falls,wi
mshana group llc,3/24/2014,9/21/2014,certified,software analytic consultant,80000,,sugar land,tx
clearedge power corporation,6/13/2013,6/20/2013,certified,software and controls engineer,76939,117000,south windsor,ct
household resource management inc,3/21/2014,9/20/2014,certified,software and data quality assurance tester,58822,58822,san francisco,ca
myworld inc,3/24/2014,9/23/2014,certified,software and data quality assurance tester,58822,58822,san francisco,ca
intellivision technologies corp,3/15/2013,9/14/2013,certified,software and embedded systems qa engineer,55000,,san jose,ca
precision controls systems inc,3/28/2014,9/15/2014,certified,software and hardware engineer,65000,,farmington hills,mi
lhp software llc,9/24/2013,9/24/2013,certified,software and hil testing engineer,74000,,troy,mi
lhp software llc,3/20/2013,9/19/2013,certified,software and hil testing engineer,74000,,troy,mi
us hybrid corporation,5/12/2014,5/19/2014,certified,software and system engineer,94000,,south windsor,ct
st jude children's research hospital,2/25/2014,3/10/2014,certified,software and systems analyst,56918,88226,memphis,tn
st jude children's research hospital,9/11/2014,11/3/2014,certified,software and systems analyst,58057,89990,memphis,tn
insomniac design inc,10/10/2014,11/1/2014,certified,software and web application project manager,57.71,,washington,dc
pro saamya inc,3/19/2013,9/16/2013,certified,software apllications developer,60611,,edison,nj
hcl global systems inc,3/10/2014,9/1/2014,certified,software applciation etl developer,29.57,,cary,nc
american flood research inc,4/21/2014,4/28/2014,certified,software applicaiton developer,62379,68000,plano,tx
populus group,12/6/2013,12/30/2013,certified,software applicaiton engineer,48,,jacksonville,fl
populus group,12/6/2013,12/30/2013,withdrawn,software applicaiton engineer,48,,jacksonville,fl
atlrg llc,3/28/2014,9/1/2014,denied,software applicaitons developer,54000,,riviera beach,fl
icon technologies inc,3/14/2014,9/12/2014,certified,software application architect,75000,,alpharetta,ga
icon technologies inc,6/6/2014,6/15/2014,certified,software application architect,75000,,alpharetta,ga
davita inc,3/14/2014,9/13/2014,certified,software application architect,105000,,vernon hills,il
saas software inc,2/21/2014,6/20/2014,certified,software application architect,110000,,plano,tx
system services inc,1/9/2013,3/28/2013,certified,software application architect,110000,,plano,tx
nexant inc,2/21/2014,3/10/2014,certified,software application architect,145000,,san mateo,ca
imorgon medical llc,3/11/2014,3/25/2014,certified,software application architect,163000,,redwood city,ca
transcend spatial solutions llc,3/19/2013,9/10/2013,certified,software application developer,28,28,roswell,ga
advantage technical resourcing inc,1/22/2013,1/30/2013,certified,software application developer,38.95,,dallas,tx
iconma llc,9/18/2014,9/22/2014,certified,software application developer,40,45,wilmington,de
advantage technical resourcing inc,1/23/2013,1/30/2013,certified,software application developer,43.48,,las vegas,nv
texas a&m university,5/24/2013,6/17/2013,certified,software application developer,42000,,college station,tx
texas a&m university,6/26/2013,9/21/2013,certified,software application developer,44000,,college station,tx
texas a&m university,6/5/2013,7/22/2013,certified,software application developer,44199,,college station,tx
texas a&m university,8/21/2014,1/25/2015,certified,software application developer,50138,,college station,tx
technosoft corporation,3/18/2013,9/16/2013,certified,software application developer,51000,57000,santa fe,nm
technosoft corporation,3/19/2013,9/16/2013,certified,software application developer,51000,57000,santa fe,nm
technosoft corporation,3/20/2013,9/16/2013,certified,software application developer,51000,57000,santa fe,nm
compuweigh corporation,3/13/2014,9/1/2014,certified,software application developer,52000,,woodbury,ct
noridian mutual insurance company,8/7/2014,1/9/2015,certified,software application developer,54656.9,,fargo,nd
technosoft corporation,3/27/2013,9/16/2013,certified,software application developer,55000,,frankfurt,ky
mercy corps,6/17/2013,10/1/2013,certified,software application developer,57429,75330,portland,or
technosoft corporation,9/1/2014,9/5/2014,certified,software application developer,58000,73000,atlanta,ga
technosoft corporation,3/18/2013,9/16/2013,certified,software application developer,58000,65000,santa fe,nm
technosoft corporation,3/20/2013,9/16/2013,certified,software application developer,58000,65000,santa fe,nm
technosoft corporation,6/25/2013,10/1/2013,certified,software application developer,58000,66000,camp hill,pa
media systems inc,3/18/2014,9/16/2014,certified,software application developer,60000,,louisville,ky
technosoft corporation,3/26/2014,9/13/2014,certified,software application developer,60000,,novi,mi
technosoft corporation,8/13/2014,8/18/2014,certified,software application developer,60000,73000,atlanta,ga
noridian mutual insurance company,1/8/2013,1/21/2013,certified,software application developer,60000,,fargo,nd
technosoft corporation,1/29/2013,2/18/2013,certified,software application developer,60000,,santa fe,nm
technosoft corporation,4/18/2013,5/1/2013,certified,software application developer,60000,,atlanta,ga
noridian mutual insurance company,6/6/2013,6/17/2013,withdrawn,software application developer,60000,,fargo,nd
tata technologies inc,7/2/2013,7/2/2013,certified,software application developer,60000,,auburn hills,mi
technosoft corporation,8/9/2013,10/2/2013,certified,software application developer,60000,,novi,mi
collasys llc,8/29/2013,10/1/2013,denied,software application developer,60000,,ft. lauderdale,fl
collasys llc,9/5/2013,10/1/2013,certified,software application developer,60000,,ft. lauderdale,fl
technosoft corporation,9/1/2014,9/5/2014,certified,software application developer,60500,72000,madison,wi
source soft inc,3/25/2014,9/15/2014,denied,software application developer,60507,65000,charlotte,nc
source soft inc,4/2/2014,9/15/2014,certified,software application developer,60507,65000,charlotte,nc
principle information technology company,3/27/2014,5/1/2014,certified,software application developer,60736,,houston,tx
revision technologies inc,3/18/2014,9/15/2014,certified,software application developer,61000,65000,iselin,nj
revision technologies inc,3/19/2014,9/15/2014,certified,software application developer,61000,65000,iselin,nj
revision technologies inc,3/19/2014,9/15/2014,certified,software application developer,61000,65000,iselin,nj
revision technologies inc,3/19/2014,9/15/2014,certified,software application developer,61000,65000,iselin,nj
revision technologies inc,3/19/2014,9/15/2014,certified,software application developer,61000,65000,iselin,nj
technosoft corporation,5/2/2014,10/1/2014,certified,software application developer,61500,70000,santa fe,nm
technosoft corporation,3/19/2014,9/13/2014,certified,software application developer,62000,,denver,co
technosoft corporation,3/24/2014,9/13/2014,certified,software application developer,62000,,denver,co
technosoft corporation,7/29/2014,8/4/2014,certified,software application developer,62000,,charlotte,nc
technosoft corporation,11/29/2012,5/20/2013,certified,software application developer,62000,,amarillo,tx
jnet technology inc,3/15/2013,9/13/2013,certified,software application developer,62000,70000,san jose,ca
kumaran systems inc,3/14/2013,9/13/2013,certified,software application developer,62587,,woodland hills,ca
m3q consulting inc,10/3/2012,10/3/2012,certified,software application developer,62982,,canton,mi
technosoft corporation,6/11/2013,6/17/2013,certified,software application developer,63000,75000,detroit,mi
technosoft corporation,2/28/2013,3/11/2013,certified,software application developer,64000,78000,charleston,wv
technosoft corporation,11/25/2014,12/13/2014,certified,software application developer,65000,,santa fe,nm
technosoft corporation,12/3/2013,12/13/2013,denied,software application developer,65000,,santa fe,nm
morphis inc,2/4/2014,8/3/2014,certified,software application developer,65000,,suite 442,tx
iknowvate technologies inc,8/19/2014,8/27/2014,certified,software application developer,65000,,farmington hills,mi
melrok llc,10/19/2012,11/1/2012,certified,software application developer,65000,,santa ana,ca
technosoft corporation,12/12/2012,1/2/2013,certified,software application developer,65000,,austin,tx
technosoft corporation,2/21/2013,3/4/2013,certified,software application developer,65000,75000,austin,tx
technosoft corporation,3/8/2013,3/18/2013,certified,software application developer,65000,,santa fe,nm
technosoft corporation,3/19/2013,9/16/2013,certified,software application developer,65000,79000,austin,tx
technosoft corporation,7/10/2013,8/5/2013,certified,software application developer,65000,,santa fe,nm
custom registration inc,3/3/2014,9/2/2014,certified,software application developer,65042,80000,arlington,tx
technosoft corporation,3/18/2014,9/13/2014,certified,software application developer,65050,76000,novi,mi
technosoft corporation,3/19/2014,9/13/2014,certified,software application developer,66000,,bingham farms,mi
floshare inc,3/21/2014,9/10/2014,certified,software application developer,66414,,encinitas,ca
technosoft corporation,3/17/2014,9/13/2014,certified,software application developer,66500,,austin,tx
technosoft corporation,4/29/2014,5/7/2014,certified,software application developer,67000,,sante fe,nm
technosoft corporation,6/23/2014,7/14/2014,certified,software application developer,67000,,madison,wi
technosoft corporation,7/22/2014,8/18/2014,certified,software application developer,67000,,camp hill,pa
technosoft corporation,10/26/2012,11/7/2012,certified,software application developer,67000,,charleston,wv
technosoft corporation,3/19/2013,9/16/2013,certified,software application developer,67000,78000,minneapolis,mn
technosoft corporation,3/20/2013,9/16/2013,certified,software application developer,67000,76000,harrisburgh,pa
technosoft corporation,3/21/2013,4/3/2013,certified,software application developer,67000,76000,camp hill,pa
technosoft corporation,4/11/2013,4/15/2013,certified,software application developer,67000,,ft worth,tx
technosoft corporation,5/25/2013,6/10/2013,certified,software application developer,67000,,eagan,mn
technosoft corporation,7/5/2013,1/1/2014,certified,software application developer,67000,,charleston,wv
primasoft inc,3/24/2014,9/20/2014,certified,software application developer,67400,,columbia,md
technosoft corporation,11/1/2013,12/2/2013,certified,software application developer,68000,,denver,co
vaazu llc,3/10/2014,9/6/2014,certified,software application developer,68000,,madison,wi
collasys llc,3/14/2014,9/13/2014,certified,software application developer,68000,,harrisburg,pa
technosoft corporation,3/17/2014,9/13/2014,certified,software application developer,68000,,camphill,pa
technosoft corporation,3/26/2014,3/31/2014,certified,software application developer,68000,,camp hill,pa
collasys llc,6/12/2014,6/25/2014,certified,software application developer,68000,78000,harrisburg,pa
technosoft corporation,7/21/2014,8/14/2014,certified,software application developer,68000,,madison,wi
technosoft corporation,9/8/2014,9/21/2014,certified,software application developer,68000,,lansing,mi
technosoft corporation,9/22/2014,10/6/2014,certified,software application developer,68000,,chicago,il
yasme soft inc,10/21/2013,10/22/2013,certified,software application developer,69000,,irving,tx
pn automation inc,3/19/2014,9/17/2014,certified,software application developer,69680,,greenbelt,md
vedicsoft,10/12/2012,10/15/2012,certified,software application developer,69742.4,,jacksonville,fl
collasys llc,9/26/2014,10/13/2014,certified,software application developer,70000,80000,camp hill,pa
technosoft corporation,10/21/2014,10/28/2014,certified,software application developer,70000,,chicago,il
technosoft corporation,10/27/2013,11/13/2013,certified,software application developer,70000,,camp hill,pa
collasys llc,12/18/2013,1/6/2014,certified,software application developer,70000,,austin,tx
technosoft corporation,2/5/2014,2/24/2014,withdrawn,software application developer,70000,,camp hill,pa
technosoft corporation,2/5/2014,2/24/2014,certified,software application developer,70000,,camp hill,pa
